# section	artist(serial)	film(odcinek/opis)	year	type	min_sec	max_sec	query
# ===== 1. BIELSKO-BIAŁA =====
Studio Miniatur Filmowych: dobranocki z Warszawy	Dziwne przygody Koziołka Matołka	Koziołek Matołek — zestaw odcinków	1970	full	600	7200	Koziołek Matołek bajka odcinki
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygody kota Filemona	Dziwny świat kota Filemona — odcinek	1972	full	300	1200	Dziwny świat kota Filemona odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygody kota Filemona	Przygody kota Filemona — odcinek	1977	full	300	1200	Przygody kota Filemona odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygody kota Filemona	Filemon i Bonifacy — zima	1977	full	300	1200	kot Filemon Bonifacy zima odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Wędrówki Pyzy	Wędrówki Pyzy — odcinek	1977	full	300	1200	Wędrówki Pyzy odcinek bajka
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygód kilka wróbla Ćwirka	Wróbel Ćwirek — odcinek	1983	full	300	1200	Przygód kilka wróbla Ćwirka odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Przygód kilka wróbla Ćwirka	Wróbel Ćwirek — zestaw odcinków	1985	full	600	7200	wróbel Ćwirek bajka odcinki
Studio Miniatur Filmowych: dobranocki z Warszawy	Proszę słonia	Proszę słonia — odcinek	1978	full	300	1200	Proszę słonia bajka odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Maurycy i Hawranek	Maurycy i Hawranek — odcinek	1988	full	300	1200	Maurycy i Hawranek odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Pomysłowy Dobromir	Pomysłowy Dobromir — odcinek	1973	full	300	1200	Pomysłowy Dobromir odcinek
Studio Miniatur Filmowych: dobranocki z Warszawy	Fortele Jonatana Koota	Fortele Jonatana Koota — odcinek	1975	full	300	1200	Fortele Jonatana Koota
# ===== 4. CZECHOSŁOWACJA =====
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Krecik	Jak krecik dostał spodenki (Jak krtek ke kalhotkám přišel)	1957	full	300	1200	Krtek jak ke kalhotkám přišel
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Krecik	Krecik i samochodzik (Krtek a autíčko)	1963	full	300	1800	Krtek a autíčko
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Krecik	Krecik w mieście	1982	full	300	1800	Krtek ve městě
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Krecik	Krecik — zestaw odcinków	1980	full	600	7200	Krecik bajka po polsku odcinki
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Rozbójnik Rumcajs	Rumcajs — odcinek	1967	full	300	900	O loupežníku Rumcajsovi pohádka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Rozbójnik Rumcajs	Rumcajs po polsku — odcinek	1970	full	300	1200	Rumcajs bajka po polsku odcinek
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Sąsiedzi (Pat i Mat)	Pat i Mat — Tapetowanie	1979	full	300	900	Pat a Mat tapety
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Sąsiedzi (Pat i Mat)	Pat i Mat — zestaw odcinków	1985	full	600	7200	Pat i Mat sąsiedzi odcinki
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Żwirek i Muchomorek	Żwirek i Muchomorek — odcinek po polsku	1970	full	300	1200	Żwirek i Muchomorek bajka odcinek
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Żwirek i Muchomorek	Pohádky z mechu a kapradí — odcinek	1968	full	300	900	Křemílek a Vochomůrka pohádka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Makowa panienka	Makowa panienka — odcinek	1972	full	300	900	Makowa panienka bajka odcinek
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	O wróżce Amałce	O víle Amálce — odcinek	1973	full	300	900	O víle Amálce pohádka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Bob i Bobek	Bob a Bobek — króliki z kapelusza	1979	full	300	900	Bob a Bobek králíci z klobouku
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Maxipes Fík	Maxipes Fík — odcinek	1976	full	300	900	Maxipes Fík pohádka
# ===== 5. ZSRR =====
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Wilk i Zając (Nu, pogodi!)	Wilk i Zając — odcinek 1 (plaża)	1969	full	300	1200	Ну погоди 1 выпуск
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Wilk i Zając (Nu, pogodi!)	Wilk i Zając — wesołe miasteczko	1971	full	300	1200	Ну погоди парк выпуск
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Wilk i Zając (Nu, pogodi!)	Wilk i Zając — zestaw odcinków	1980	full	600	7200	Nu pogodi wszystkie odcinki
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Kiwaczek (Czeburaszka)	Krokodyl Giena	1969	full	600	1800	Крокодил Гена мультфильм 1969
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Kiwaczek (Czeburaszka)	Czeburaszka	1971	full	600	1800	Чебурашка мультфильм 1971
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Kiwaczek (Czeburaszka)	Szapoklak	1974	full	600	1800	Шапокляк мультфильм 1974
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Przygody kota Leopolda	Kot Leopold — odcinek	1975	full	300	1200	Приключения кота Леопольда мультфильм
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Przygody kota Leopolda	Kot Leopold — zestaw odcinków	1981	full	600	7200	кот Леопольд все серии
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Trójka z Prostokwaszyna	Trójka z Prostokwaszyna	1978	full	600	1800	Трое из Простоквашино мультфильм
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Trójka z Prostokwaszyna	Zima w Prostokwaszynie	1984	full	600	1800	Зима в Простоквашино мультфильм
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Kubuś Puchatek (Winnie Puch)	Winni Puch — odcinek 1	1969	full	300	1200	Винни Пух мультфильм 1969
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Malec i Karlsson	Malec i Karlsson	1968	full	600	1800	Малыш и Карлсон мультфильм
# ===== 6. NRD I RFN =====
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Piaskowy Dziadek	Unser Sandmännchen — odcinek	1959	full	120	900	Unser Sandmännchen Folge klassisch
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Piaskowy Dziadek	Piaskowy Dziadek — czołówka	1980	fragment	15	300	Sandmännchen Intro DDR
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Pszczółka Maja	Pszczółka Maja (1975) — odcinek po polsku	1975	full	600	1800	Pszczółka Maja 1975 odcinek po polsku
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Pszczółka Maja	Die Biene Maja — Maja wird geboren	1975	full	600	1800	Die Biene Maja 1975 Folge 1
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Pszczółka Maja	Pszczółka Maja — piosenka czołówkowa (Zbigniew Wodecki)	1979	fragment	15	300	Pszczółka Maja Wodecki czołówka
# ===== 7. WĘGRY =====
Węgry: Gustaw i Wodnik Szuwarek	Gustaw	Gustaw (Gusztáv) — odcinek	1964	full	120	900	Gusztáv rajzfilm epizód
Węgry: Gustaw i Wodnik Szuwarek	Gustaw	Gustaw — zestaw odcinków	1975	full	600	7200	Gustaw bajka odcinki węgierska
Węgry: Gustaw i Wodnik Szuwarek	Wodnik Szuwarek	Wodnik Szuwarek (Vízipók-csodapók) — odcinek	1978	full	300	1200	Vízipók-csodapók epizód
Węgry: Gustaw i Wodnik Szuwarek	Pom Pom	Pom Pom meséi — odcinek	1980	full	300	900	Pom Pom meséi epizód
Węgry: Gustaw i Wodnik Szuwarek	Kot Miau (Frakk)	Frakk, a macskák réme — odcinek	1972	full	300	900	Frakk a macskák réme epizód
# ===== 8. AMERYKA W WIECZORYNCE =====
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Smerfy	Smerfy — pełny odcinek	1981	full	600	1800	Smurfs full episode 1981
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Smerfy	Smerfy — czołówka po polsku	1987	fragment	15	300	Smerfy czołówka po polsku
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Smerfy	Smerfy — odcinek po polsku	1990	full	600	1800	Smerfy odcinek po polsku
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Gumisie	Gumisie — czołówka po polsku	1990	fragment	15	300	Gumisie czołówka po polsku
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Gumisie	Adventures of the Gummi Bears — odcinek	1985	full	600	1800	Gummi Bears full episode
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Kacze opowieści	Kacze opowieści — czołówka po polsku	1991	fragment	15	300	Kacze opowieści czołówka po polsku
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Kacze opowieści	DuckTales — pełny odcinek	1987	full	600	1800	DuckTales 1987 full episode
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Chip i Dale: Brygada RR	Chip i Dale — czołówka po polsku	1991	fragment	15	300	Chip i Dale Brygada RR czołówka
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Nowe przygody Kubusia Puchatka	Kubuś Puchatek — czołówka po polsku	1991	fragment	15	300	Nowe przygody Kubusia Puchatka czołówka
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Miś Yogi	Miś Yogi — odcinek	1961	full	300	1800	Yogi Bear classic full episode
# ===== 9. EUROPA ZACHODNIA I KOPRODUKCJE =====
Europa Zachodnia i koprodukcje lat 90.	Muminki (1990)	Muminki — odcinek po polsku	1990	full	600	1800	Muminki odcinek po polsku 1990
Europa Zachodnia i koprodukcje lat 90.	Muminki (1990)	Muminki — czołówka po polsku	1990	fragment	15	300	Muminki czołówka po polsku
Europa Zachodnia i koprodukcje lat 90.	Muminki (1990)	Moomin — odcinek	1990	full	600	1800	Moomin 1990 episode 1
Europa Zachodnia i koprodukcje lat 90.	Bouli	Bouli — odcinek po polsku	1989	full	120	900	Bouli bajka odcinek
Europa Zachodnia i koprodukcje lat 90.	Pingu	Pingu — odcinek	1990	full	120	900	Pingu original episode
Europa Zachodnia i koprodukcje lat 90.	Pingu	Pingu — zestaw odcinków	1990	full	600	7200	Pingu full episodes compilation
Europa Zachodnia i koprodukcje lat 90.	Tabaluga	Tabaluga — odcinek po polsku	1997	full	600	1800	Tabaluga odcinek po polsku
Europa Zachodnia i koprodukcje lat 90.	Wicky Wiking	Wickie — odcinek	1974	full	600	1800	Wickie und die starken Männer Folge
Europa Zachodnia i koprodukcje lat 90.	Denver, ostatni dinozaur	Denver — czołówka po polsku	1988	fragment	15	300	Denver ostatni dinozaur czołówka
Europa Zachodnia i koprodukcje lat 90.	SimsalaGrimm	SimsalaGrimm — odcinek po polsku	1999	full	600	1800	Simsala Grimm odcinek po polsku
