# section	series	type	min	max	maxn	queries(;)
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Rozbójnik Rumcajs	full	240	1200	10	Rumcajs bajka po polsku;O loupežníku Rumcajsovi pohádka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Sąsiedzi (Pat i Mat)	full	300	1200	12	Pat i Mat odcinek;Pat a Mat episode
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Żwirek i Muchomorek	full	240	1200	10	Żwirek i Muchomorek bajka;Křemílek a Vochomůrka pohádka díl
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Makowa panienka	full	240	1200	8	Makowa panienka bajka;Maková panenka pohádka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	O wróżce Amałce	full	240	1200	8	víla Amálka díl pohádka
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Bob i Bobek	full	240	1200	8	Bob a Bobek díl;Bob a Bobek králíci z klobouku
Czechosłowacja: Krecik, Rumcajs, Sąsiedzi	Maxipes Fík	full	240	1200	8	Maxipes Fík díl pohádka
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Wilk i Zając (Nu, pogodi!)	full	300	1200	12	Ну погоди выпуск;Nu pogodi episode
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Przygody kota Leopolda	full	300	1200	10	кот Леопольд мультфильм серия;Приключения кота Леопольда
ZSRR: Wilk i Zając, Kiwaczek, kot Leopold	Malec i Karlsson	full	600	1800	4	Карлсон вернулся мультфильм;Малыш и Карлсон
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Piaskowy Dziadek	full	120	900	8	Unser Sandmännchen Folge;Sandmännchen DDR
NRD i RFN: Piaskowy Dziadek i Pszczółka Maja	Pszczółka Maja	full	600	1800	10	Pszczółka Maja odcinek 1975;Die Biene Maja 1975 Folge
Węgry: Gustaw i Pająk chwat	Gustaw	full	120	900	10	Gusztáv rajzfilm;Gustaw bajka węgierska
Węgry: Gustaw i Pająk chwat	Pająk chwat wszystkich brat	full	240	1200	8	Vízipók-csodapók rész;Vízipók csodapók epizód
Węgry: Gustaw i Pająk chwat	Frakk, postrach kotów	full	240	1200	6	Frakk a macskák réme rész
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Smerfy	full	600	1800	10	Smurfs full episode official;Smerfy odcinek po polsku
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Gumisie	full	600	1800	8	Gummi Bears full episode;Gumisie odcinek
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Kacze opowieści	full	600	1800	8	DuckTales 1987 full episode
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Chip i Dale: Brygada RR	full	600	1800	6	Chip n Dale Rescue Rangers full episode
Ameryka w Wieczorynce: Smerfy, Gumisie, Disney	Miś Yogi	full	300	1800	6	Yogi Bear classic full episode
Europa Zachodnia i koprodukcje lat 90.	Muminki (1990)	full	600	1800	12	Muminki odcinek po polsku;Moomin 90s full episode
Europa Zachodnia i koprodukcje lat 90.	Pingu	full	120	3600	8	Pingu official episode;Pingu full episodes
Europa Zachodnia i koprodukcje lat 90.	Tabaluga	full	600	1800	8	Tabaluga odcinek po polsku
Europa Zachodnia i koprodukcje lat 90.	Bouli	full	120	900	6	Bouli dessin animé épisode;Bouli bajka
Europa Zachodnia i koprodukcje lat 90.	Wicky Wiking	full	600	1800	6	Wickie und die starken Männer Folge
Europa Zachodnia i koprodukcje lat 90.	SimsalaGrimm	full	600	1800	8	Simsala Grimm bajka po polsku odcinek
